datetime,energy_consumption,temperature,humidity,wind_speed,is_holiday
2023-01-01 00:00:00,1388.62,13.92,71.97,2.9,1
2023-01-01 01:00:00,1213.82,15.59,84.36,6.5,1
2023-01-01 02:00:00,1627.15,12.12,71.51,8.02,1
2023-01-01 03:00:00,1575.38,9.51,72.92,6.37,1
2023-01-01 04:00:00,1287.45,15.68,54.13,3.78,1
2023-01-01 05:00:00,1521.51,13.12,47.83,2.5,1
2023-01-01 06:00:00,1818.37,10.4,73.76,7.33,1
2023-01-01 07:00:00,1643.36,10.89,72.65,6.16,1
2023-01-01 08:00:00,1850.12,11.15,72.78,6.34,1
2023-01-01 09:00:00,2051.94,9.6,53.09,6.38,1
2023-01-01 10:00:00,1777.5,13.17,70.31,7.55,1
2023-01-01 11:00:00,1755.64,14.03,64.45,6.51,1
2023-01-01 12:00:00,1815.0,13.5,66.82,7.01,1
2023-01-01 13:00:00,1864.52,10.2,69.56,5.82,1
2023-01-01 14:00:00,1935.12,11.05,82.31,5.03,1
2023-01-01 15:00:00,2023.63,9.43,63.64,7.6,1
2023-01-01 16:00:00,1660.05,16.31,63.43,5.89,1
2023-01-01 17:00:00,1627.62,13.21,71.77,8.22,1
2023-01-01 18:00:00,1713.95,11.59,68.36,6.67,1
2023-01-01 19:00:00,1477.56,13.7,62.06,4.7,1
2023-01-01 20:00:00,1461.57,10.83,67.62,7.06,1
2023-01-01 21:00:00,1443.4,12.88,55.4,9.59,1
2023-01-01 22:00:00,1344.88,15.54,61.26,4.63,1
2023-01-01 23:00:00,1285.61,13.38,54.77,5.19,1
2023-01-02 00:00:00,4936.71,14.33,62.76,7.47,0
2023-01-02 01:00:00,4814.47,9.87,63.68,6.83,0
2023-01-02 02:00:00,4438.26,13.44,72.52,6.51,0
2023-01-02 03:00:00,4704.45,15.76,82.37,5.57,0
2023-01-02 04:00:00,4862.43,13.0,68.53,6.5,0
2023-01-02 05:00:00,5057.4,9.85,57.41,8.99,0
2023-01-02 06:00:00,4829.39,14.47,67.83,5.15,0
2023-01-02 07:00:00,5526.4,11.51,67.59,8.82,0
2023-01-02 08:00:00,5270.26,13.41,83.48,9.35,0
2023-01-02 09:00:00,5435.55,10.23,69.69,6.79,0
2023-01-02 10:00:00,5744.15,13.13,61.92,7.55,0
2023-01-02 11:00:00,5995.58,13.46,72.11,6.7,0
2023-01-02 12:00:00,6330.04,13.38,72.01,5.46,0
2023-01-02 13:00:00,6654.93,13.95,76.36,8.24,0
2023-01-02 14:00:00,6165.48,12.02,73.45,7.1,0
2023-01-02 15:00:00,6185.32,12.68,82.78,2.43,0
2023-01-02 16:00:00,5624.56,9.98,71.89,6.9,0
2023-01-02 17:00:00,5497.98,8.51,60.67,7.38,0
2023-01-02 18:00:00,4620.39,15.76,58.6,5.0,0
2023-01-02 19:00:00,4883.25,13.61,63.31,9.13,0
2023-01-02 20:00:00,4480.23,12.28,73.6,2.31,0
2023-01-02 21:00:00,4921.13,10.49,73.7,6.41,0
2023-01-02 22:00:00,4336.12,17.64,59.43,9.19,0
2023-01-02 23:00:00,5027.13,8.62,70.97,6.4,0
2023-01-03 00:00:00,4489.44,13.65,66.38,1.53,0
2023-01-03 01:00:00,4479.45,9.94,77.4,4.29,0
2023-01-03 02:00:00,4828.01,12.47,62.41,7.51,0
2023-01-03 03:00:00,4499.99,12.55,68.97,6.97,0
2023-01-03 04:00:00,4398.68,15.18,59.54,5.56,0
2023-01-03 05:00:00,4787.69,11.13,62.8,3.06,0
2023-01-03 06:00:00,5495.9,10.8,70.47,3.72,0
2023-01-03 07:00:00,5267.8,10.41,69.9,6.0,0
2023-01-03 08:00:00,5125.23,12.68,56.84,5.67,0
2023-01-03 09:00:00,5238.59,14.39,70.77,4.77,0
2023-01-03 10:00:00,6122.95,12.73,63.75,4.57,0
2023-01-03 11:00:00,6415.31,12.34,71.08,8.88,0
2023-01-03 12:00:00,5770.18,11.18,46.13,4.8,0
2023-01-03 13:00:00,5675.73,15.21,71.08,9.48,0
2023-01-03 14:00:00,5832.58,13.01,82.23,2.48,0
2023-01-03 15:00:00,6096.27,11.73,77.08,7.88,0
2023-01-03 16:00:00,5622.52,10.75,67.11,4.83,0
2023-01-03 17:00:00,5427.68,8.88,60.21,7.23,0
2023-01-03 18:00:00,5479.75,11.75,48.15,6.63,0
2023-01-03 19:00:00,4833.93,12.98,69.5,5.8,0
2023-01-03 20:00:00,4933.01,10.63,65.48,3.42,0
2023-01-03 21:00:00,4207.06,15.03,82.02,4.62,0
2023-01-03 22:00:00,4491.99,16.25,76.49,3.59,0
2023-01-03 23:00:00,4493.77,15.11,46.2,6.49,0
2023-01-04 00:00:00,4576.58,14.19,86.86,7.68,0
2023-01-04 01:00:00,4458.71,13.66,85.2,5.4,0
2023-01-04 02:00:00,4898.97,10.19,71.43,7.99,0
2023-01-04 03:00:00,4578.67,8.35,88.2,5.21,0
2023-01-04 04:00:00,4851.45,11.34,66.15,5.88,0
2023-01-04 05:00:00,4671.37,6.22,72.68,6.48,0
2023-01-04 06:00:00,5182.51,11.89,62.52,8.91,0
2023-01-04 07:00:00,5186.34,13.99,72.3,6.76,0
2023-01-04 08:00:00,5518.33,14.28,76.92,7.67,0
2023-01-04 09:00:00,3306.491657873095,12.1,70.75,4.43,0
2023-01-04 10:00:00,5615.69,11.67,49.29,5.18,0
2023-01-04 11:00:00,5854.02,10.65,78.57,0.0,0
2023-01-04 12:00:00,6005.97,11.15,58.05,5.98,0
2023-01-04 13:00:00,6395.35,11.24,80.13,10.04,0
2023-01-04 14:00:00,6229.71,13.08,69.32,3.81,0
2023-01-04 15:00:00,5982.8,14.55,58.38,4.86,0
2023-01-04 16:00:00,5241.49,12.15,72.99,2.9,0
2023-01-04 17:00:00,5278.44,13.35,52.51,9.37,0
2023-01-04 18:00:00,5311.5,10.63,69.9,5.66,0
2023-01-04 19:00:00,4404.21,14.67,74.76,7.26,0
2023-01-04 20:00:00,4675.72,17.69,81.14,7.21,0
2023-01-04 21:00:00,4640.34,9.9,58.82,11.29,0
2023-01-04 22:00:00,4423.89,12.18,84.49,3.58,0
2023-01-04 23:00:00,4541.96,15.41,74.91,5.51,0
2023-01-05 00:00:00,4604.8,10.82,61.01,7.99,0
2023-01-05 01:00:00,4993.5,12.36,72.46,4.09,0
2023-01-05 02:00:00,4502.37,15.89,83.31,6.91,0
2023-01-05 03:00:00,4450.37,15.1,52.31,3.49,0
2023-01-05 04:00:00,4755.15,11.35,76.28,5.98,0
2023-01-05 05:00:00,4569.27,13.06,61.85,2.77,0
2023-01-05 06:00:00,4457.37,13.04,66.15,6.66,0
2023-01-05 07:00:00,4903.46,16.83,63.2,6.43,0
2023-01-05 08:00:00,5871.79,11.72,69.97,5.61,0
2023-01-05 09:00:00,5584.05,13.0,62.74,9.73,0
2023-01-05 10:00:00,6177.36,12.33,78.66,5.07,0
2023-01-05 11:00:00,6478.79,12.94,62.75,3.91,0
2023-01-05 12:00:00,6591.88,12.46,83.88,5.61,0
2023-01-05 13:00:00,6443.04,9.78,73.94,7.04,0
2023-01-05 14:00:00,5741.93,13.64,68.96,8.34,0
2023-01-05 15:00:00,6397.2,13.18,59.11,8.05,0
2023-01-05 16:00:00,5560.41,9.56,59.7,5.82,0
2023-01-05 17:00:00,5137.36,8.37,72.33,7.25,0
2023-01-05 18:00:00,5065.15,9.44,72.25,6.4,0
2023-01-05 19:00:00,4294.32,11.3,76.99,5.55,0
2023-01-05 20:00:00,4332.14,11.98,75.97,9.0,0
2023-01-05 21:00:00,4832.19,10.2,70.21,7.6,0
2023-01-05 22:00:00,4780.37,11.61,77.29,5.79,0
2023-01-05 23:00:00,4894.19,11.56,71.09,5.69,0
2023-01-06 00:00:00,4479.41,12.31,68.25,3.29,0
2023-01-06 01:00:00,4305.99,11.31,63.96,11.05,0
2023-01-06 02:00:00,4659.55,9.15,70.73,5.46,0
2023-01-06 03:00:00,2481.373083246909,11.34,69.33,3.21,0
2023-01-06 04:00:00,4767.42,13.09,65.1,2.21,0
2023-01-06 05:00:00,4724.74,11.01,80.77,6.59,0
2023-01-06 06:00:00,5135.62,11.67,67.97,8.47,0
2023-01-06 07:00:00,4751.6,12.99,53.6,5.92,0
2023-01-06 08:00:00,5598.53,11.05,56.01,6.14,0
2023-01-06 09:00:00,5938.47,9.8,74.16,9.3,0
2023-01-06 10:00:00,5251.42,12.8,68.12,3.15,0
2023-01-06 11:00:00,5458.4,13.96,75.83,1.35,0
2023-01-06 12:00:00,6250.29,9.56,64.42,9.33,0
2023-01-06 13:00:00,5946.6,9.78,56.55,6.73,0
2023-01-06 14:00:00,6288.76,11.48,88.49,7.06,0
2023-01-06 15:00:00,5587.34,16.72,96.53,7.26,0
2023-01-06 16:00:00,5531.05,13.26,74.0,8.17,0
2023-01-06 17:00:00,5494.39,13.97,70.08,5.24,0
2023-01-06 18:00:00,5175.77,12.46,70.53,5.41,0
2023-01-06 19:00:00,4640.58,12.77,61.97,3.58,0
2023-01-06 20:00:00,4354.01,9.36,63.51,3.68,0
2023-01-06 21:00:00,4854.85,15.6,47.15,5.42,0
2023-01-06 22:00:00,4319.29,10.85,79.55,5.44,0
2023-01-06 23:00:00,4684.0,11.75,52.53,4.82,0
2023-01-07 00:00:00,2791.41,12.02,82.14,7.58,0
2023-01-07 01:00:00,2737.32,14.31,64.22,7.84,0
2023-01-07 02:00:00,2712.93,13.04,74.39,4.31,0
2023-01-07 03:00:00,2785.99,12.38,52.51,6.35,0
2023-01-07 04:00:00,2961.63,10.55,81.69,3.46,0
2023-01-07 05:00:00,2950.01,10.09,68.67,5.24,0
2023-01-07 06:00:00,2995.83,12.31,97.59,10.36,0
2023-01-07 07:00:00,3478.44,11.53,61.1,9.7,0
2023-01-07 08:00:00,3425.31,13.72,74.71,8.39,0
2023-01-07 09:00:00,3323.94,16.18,61.86,7.28,0
2023-01-07 10:00:00,3587.35,15.72,71.21,4.65,0
