datetime,energy_consumption,temperature,humidity,wind_speed
2023-01-01 00:00:00,1796.25,27.63,89.97,5.95
2023-01-01 01:00:00,1930.23,27.86,40.72,5.51
2023-01-01 02:00:00,1946.04,26.55,46.39,8.75
2023-01-01 03:00:00,1954.18,21.72,42.85,6.88
2023-01-01 04:00:00,2080.68,27.65,59.11,6.85
2023-01-01 05:00:00,2142.65,25.33,78.51,6.49
2023-01-01 06:00:00,2088.84,26.28,53.52,5.77
2023-01-01 07:00:00,2169.39,29.52,57.58,4.34
2023-01-01 08:00:00,2103.77,30.68,58.8,5.76
2023-01-01 09:00:00,2069.75,28.47,59.9,4.88
2023-01-01 10:00:00,2141.13,21.41,55.44,4.39
2023-01-01 11:00:00,2116.39,26.96,49.71,2.42
2023-01-01 12:00:00,2217.51,28.73,40.63,2.4
2023-01-01 13:00:00,2126.84,28.85,42.01,5.0
2023-01-01 14:00:00,2256.11,25.85,63.02,4.85
2023-01-01 15:00:00,2120.63,31.55,50.15,1.6
2023-01-01 16:00:00,2242.16,28.15,78.14,4.84
2023-01-01 17:00:00,2078.27,26.8,58.38,9.5
2023-01-01 18:00:00,2122.96,30.59,81.27,4.86
2023-01-01 19:00:00,2078.88,29.09,68.55,6.29
2023-01-01 20:00:00,2024.04,28.38,83.48,7.13
2023-01-01 21:00:00,2085.69,35.02,53.82,6.71
2023-01-01 22:00:00,2005.28,30.6,72.34,5.35
2023-01-01 23:00:00,1886.11,27.0,79.01,5.08
2023-01-02 00:00:00,2604.2,24.77,34.08,7.3
2023-01-02 01:00:00,2753.05,27.25,57.61,6.11
2023-01-02 02:00:00,2788.38,32.19,65.51,8.78
2023-01-02 03:00:00,2826.91,31.4,48.22,2.04
2023-01-02 04:00:00,2975.73,28.97,71.89,2.89
2023-01-02 05:00:00,2898.35,27.06,76.43,4.95
2023-01-02 06:00:00,2919.58,23.58,65.79,7.41
2023-01-02 07:00:00,3061.93,25.36,50.8,6.32
2023-01-02 08:00:00,3123.67,24.1,69.15,8.05
2023-01-02 09:00:00,3199.64,24.38,55.18,2.64
2023-01-02 10:00:00,3144.78,24.56,83.52,6.57
2023-01-02 11:00:00,3192.34,31.6,74.9,7.37
2023-01-02 12:00:00,3172.0,23.96,48.9,5.56
2023-01-02 13:00:00,3147.19,24.57,41.51,3.7
2023-01-02 14:00:00,3113.45,27.29,73.86,4.01
2023-01-02 15:00:00,3002.24,25.49,63.23,3.68
2023-01-02 16:00:00,3134.0,26.94,50.16,4.01
2023-01-02 17:00:00,3091.86,27.05,50.16,5.9
2023-01-02 18:00:00,2835.79,25.17,33.29,1.4
2023-01-02 19:00:00,2887.5,30.24,78.63,6.72
2023-01-02 20:00:00,2893.88,23.45,59.43,5.96
2023-01-02 21:00:00,2916.85,27.5,68.24,3.58
2023-01-02 22:00:00,2818.58,25.78,84.16,6.24
2023-01-02 23:00:00,2734.02,29.63,23.01,3.91
2023-01-03 00:00:00,2489.57,23.5,56.14,1.82
2023-01-03 01:00:00,2586.86,31.36,73.32,3.47
2023-01-03 02:00:00,2728.78,24.55,51.5,7.72
2023-01-03 03:00:00,2871.9,29.61,84.57,3.04
2023-01-03 04:00:00,2944.12,30.41,89.54,5.71
2023-01-03 05:00:00,2927.76,25.85,71.11,7.31
2023-01-03 06:00:00,2924.78,27.22,52.38,3.02
2023-01-03 07:00:00,3147.05,24.81,76.37,2.75
2023-01-03 08:00:00,3090.12,25.84,51.5,7.56
2023-01-03 09:00:00,3173.64,34.21,75.35,5.5
2023-01-03 10:00:00,3075.65,30.26,82.24,3.32
2023-01-03 11:00:00,3178.12,25.83,75.4,7.01
2023-01-03 12:00:00,3136.95,22.8,69.24,8.42
2023-01-03 13:00:00,3142.47,29.63,34.91,5.27
2023-01-03 14:00:00,3206.57,27.15,43.57,3.75
2023-01-03 15:00:00,3110.06,22.59,45.73,6.75
2023-01-03 16:00:00,3133.47,19.57,56.37,2.92
2023-01-03 17:00:00,2219.0804594454094,28.89,59.72,5.23
2023-01-03 18:00:00,3017.89,27.99,55.18,1.39
